snare,bass,cymbal,tom
69,66,68,67
68,65,70,66
68,66,68,63
68,66,68,67
69,66,69,66
68,66,69,64
69,67,69,66
68,65,67,67
68,66,68,64
68,67,69,65
69,66,69,67
68,66,68,65
68,66,69,64
68,66,68,67
68,65,69,66
67,67,69,64
68,66,68,65
69,66,68,67
68,66,71,64
68,67,68,65
69,66,69,67
68,65,70,65
68,66,68,65
69,65,68,67
69,66,70,65
67,66,69,65
67,68,67,66
69,66,70,67
67,66,70,64
69,67,69,65
69,67,69,67
68,66,70,65
67,65,68,64
69,66,67,65
68,66,69,66
68,66,69,65
67,67,68,66
69,66,69,67
69,66,68,64
67,66,67,65
69,65,68,67
68,66,71,64
69,67,69,63
68,67,69,66
68,66,69,65
68,67,68,64
68,67,67,65
70,66,68,67
68,66,69,64
68,67,70,65
69,66,68,67
68,65,70,65
67,67,69,64
68,66,68,66
69,65,68,66
68,65,68,63
69,66,68,65
68,66,69,66
67,67,71,64
69,68,69,65
69,64,70,67
67,64,70,66
68,67,69,64
69,67,69,67
68,64,70,68
68,66,69,65
68,66,68,66
69,67,68,67
68,67,69,64
68,66,67,64
69,66,67,67
68,67,70,65
68,67,69,64
68,66,69,67
69,65,70,67
68,66,69,64
68,67,68,65
68,66,68,67
68,66,69,65
68,67,68,65
69,66,68,67
69,65,70,65
68,67,69,63
69,66,69,67
68,65,69,64
68,68,69,65
68,68,68,65
68,66,70,68
69,66,71,65
68,66,68,64
69,64,69,67
67,65,70,64
68,67,70,64
69,66,68,67
68,66,68,65
68,68,69,63
68,65,70,64
69,66,68,67
68,66,70,64
68,67,68,64
68,66,69,67
69,65,69,64
68,65,69,64
69,66,68,66
68,66,69,66
68,66,69,64
69,67,68,66
69,66,69,66
68,67,70,64
68,65,69,65
69,65,69,66
68,66,70,65
67,66,69,64
68,66,68,67
68,66,70,66
68,67,69,64
68,66,68,66
69,66,69,67
68,66,68,64
68,67,69,64
69,67,68,63
69,64,70,65
68,65,70,63
68,66,69,65
68,66,69,67
68,66,69,65
69,66,67,64
67,66,70,66
67,66,70,65
69,66,67,64
68,67,69,68
67,65,69,66
68,66,68,63
68,66,67,66
68,66,70,66
68,66,69,63
68,67,69,66
68,66,69,68
68,66,69,63
68,66,67,64
68,65,68,67
68,65,70,65
69,67,69,64
68,68,68,66
69,65,70,67
67,66,68,65
68,66,69,65
68,66,69,67
68,66,69,65
68,66,69,65
68,66,68,68
68,66,70,66
68,68,69,64
68,67,69,67
68,65,69,65
67,67,69,64
68,67,68,67
69,66,69,68
68,66,69,65
68,67,68,66
68,67,69,68
68,66,69,65
68,67,68,65
69,67,68,67
68,66,70,67
67,66,71,65
68,67,68,67
69,66,69,67
68,65,70,65
68,66,70,65
69,65,69,68
68,65,70,65
68,67,70,65
68,66,68,68
68,65,69,67
68,67,70,64
68,66,69,66
69,66,70,67
69,66,71,65
68,67,68,66
69,67,69,68
68,65,69,66
69,67,70,65
69,66,68,67
68,65,70,67
68,67,69,65
68,67,68,66
69,65,70,68
68,67,70,65
68,66,68,66
68,67,69,68
69,66,70,66
69,66,68,65
68,66,68,66
69,64,70,66
68,65,70,65
69,66,69,67
70,65,70,67
68,66,71,65
68,66,69,64
69,65,68,67
68,66,70,66
68,67,69,64
68,66,67,66
69,66,70,66
67,67,70,64
69,67,69,67
69,65,70,67
68,67,69,64
69,67,68,66
69,67,70,68
69,66,68,66
69,68,68,65
69,66,68,66
69,66,68,66
68,66,69,64
69,66,67,66
69,66,69,67
68,66,69,66
69,67,70,66
69,65,69,67
68,66,69,65
68,67,70,64
69,65,67,67
68,66,69,66
69,67,69,64
68,65,68,66
69,65,69,67
68,67,70,66
68,67,68,66
69,65,69,67
68,66,70,66
68,67,68,65
69,67,69,68
68,66,69,65
68,66,68,64
69,66,69,66
69,66,70,66
68,67,70,64
68,66,67,65
71,65,69,67
67,66,70,66
68,67,68,65
69,65,69,66
68,66,69,66
68,68,69,65
69,68,67,66
69,65,67,67
68,66,69,66
69,66,68,64
69,65,69,67
69,64,69,65
68,66,68,65
69,66,69,68
68,65,68,67
68,67,68,65
69,66,70,67
69,64,70,68
68,65,69,66
69,66,68,66
69,66,68,67
67,66,70,65
69,68,69,65
69,65,68,68
69,66,69,68
68,67,68,64
68,67,68,67
68,67,68,65
68,67,68,66
70,66,70,68
68,67,71,65
68,67,70,66
69,66,69,68
68,66,69,67
67,67,70,65
67,66,69,67
68,66,69,68
67,66,70,66
68,66,71,67
69,66,69,68
68,67,69,65
68,67,69,66
68,66,68,68
68,65,69,67
67,67,69,65
69,66,68,67
69,66,70,67
68,68,70,66
68,67,68,66
68,66,69,69
68,66,71,66
67,67,70,66
69,66,68,68
68,65,68,67
68,67,69,65
68,67,68,67
68,66,71,68
67,67,69,65
68,68,68,66
69,66,68,68
68,65,68,66
68,67,68,65
68,67,68,67
68,66,69,66
67,67,68,65
68,67,68,67
69,66,69,67
67,67,68,66
68,68,68,66
69,67,69,68
68,67,71,66
68,67,69,65
69,66,68,68
68,66,69,67
67,67,68,65
69,67,69,67
68,66,69,67
68,67,68,64
68,67,68,66
68,66,69,68
68,66,70,65
68,67,69,65
69,67,69,67
68,66,70,67
68,66,69,65
69,67,69,66
68,66,69,67
68,67,67,64
69,68,69,66
69,67,68,68
68,66,69,65
68,66,67,65
68,67,68,68
68,66,68,67
67,67,69,65
68,67,68,67
69,66,70,67
67,66,70,64
69,66,69,66
68,66,68,68
68,66,68,65
67,66,68,66
69,65,70,68
68,65,69,66
68,67,68,64
68,66,68,67
69,66,68,67
68,67,68,65
68,67,68,67
69,66,69,68
67,66,69,66
68,67,69,65
69,67,68,68
68,66,70,67
68,66,70,65
69,67,68,68
69,66,69,68
67,66,69,65
68,67,67,67
69,66,68,69
68,67,70,65
68,67,69,66
69,66,66,67
68,67,70,65
68,66,70,64
68,67,67,67
67,66,70,67
68,66,69,65
68,67,67,66
68,66,69,68
68,66,70,66
68,67,69,65
68,67,66,67
68,67,69,66
67,67,69,65
68,67,67,67
68,66,68,67
68,66,69,65
68,67,67,66
68,65,68,68
68,66,69,66
67,67,69,66
68,67,69,68
68,66,70,66
67,67,70,64
69,66,67,67
69,66,68,67
68,67,69,65
68,67,67,66
69,66,68,68
68,66,70,65
68,67,69,65
68,67,68,67
68,66,69,67
68,67,69,64
68,67,69,67
68,66,70,67
67,67,68,65
68,67,68,66
68,66,70,67
68,67,69,65
68,67,69,65
69,67,68,67
68,66,69,66
67,67,69,64
69,66,68,67
68,66,68,67
68,67,68,65
68,67,68,66
68,66,68,67
68,66,70,65
67,67,68,65
69,67,68,67
68,66,68,66
67,66,69,65
69,67,68,67
68,65,69,67
69,67,69,64
68,67,68,65
68,66,67,67
68,66,68,65
68,67,69,65
68,66,69,66
68,66,69,65
68,67,70,64
69,66,67,66
68,66,70,67
68,67,70,65
69,67,68,65
69,66,67,67
68,66,69,65
68,67,69,65
69,66,69,67
68,66,69,65
67,67,68,64
69,66,67,66
69,67,69,66
68,66,68,65
68,67,68,66
69,66,69,68
68,66,70,65
69,67,69,64
69,67,68,67
68,67,68,66
67,67,69,64
68,67,68,66
68,65,70,67
68,66,69,64
68,67,68,66
68,65,69,67
67,66,70,65
68,67,69,65
69,67,68,67
69,66,68,66
67,67,70,65
68,67,67,66
69,66,68,67
68,67,69,65
68,67,68,65
68,66,69,67
67,66,68,65
68,67,69,64
69,66,67,66
69,66,70,65
68,67,69,64
68,66,68,66
69,66,69,66
68,67,70,65
67,67,68,66
68,67,68,67
68,66,68,64
67,67,68,65
69,66,69,67
69,66,70,66
68,67,69,65
68,67,69,66
68,66,68,67
67,66,70,64
69,67,68,65
69,66,70,67
68,66,70,65
68,67,68,66
68,67,69,67
68,66,69,66
67,67,69,64
68,66,68,67
69,67,69,67
68,66,69,64
69,67,69,66
69,66,70,67
68,66,68,65
68,67,69,65
68,66,68,68
68,66,68,65
68,67,69,65
68,67,68,67
69,66,68,67
68,67,69,64
68,67,68,66
69,66,67,67
68,67,68,65
68,67,68,65
69,67,69,68
67,66,70,66
67,66,68,64
68,66,68,67
68,65,70,66
67,66,69,64
68,66,69,66
68,65,69,67
68,66,70,65
68,67,68,65
69,66,69,67
68,66,70,65
67,66,71,65
69,66,67,66
69,67,71,67
67,67,68,64
68,67,68,66
69,66,69,67
68,67,69,65
68,68,69,65
69,67,68,68
68,66,69,65
68,66,69,65
68,66,69,67
68,66,69,68
68,67,70,65
68,67,69,66
69,65,69,67
68,66,70,65
68,67,69,65
70,67,70,67
68,66,68,66
67,68,69,65
68,67,69,67
68,66,68,67
67,66,69,64
69,66,69,67
69,66,69,67
68,67,70,65
68,67,69,65
68,66,69,67
69,66,69,66
68,67,69,65
69,67,70,68
69,67,69,67
68,66,68,65
68,67,68,67
69,66,68,67
68,66,69,65
68,66,69,65
68,66,69,67
68,66,71,65
68,67,70,66
69,66,69,67
69,66,69,67
68,66,69,65
68,67,68,66
69,65,69,67
68,66,70,65
68,67,69,66
69,66,68,68
69,66,72,66
68,67,69,65
68,67,69,67
68,66,70,66
68,67,70,65
68,67,68,66
69,66,68,67
68,67,69,65
68,68,69,65
69,66,67,67
68,66,69,66
68,67,68,65
69,66,68,67
68,66,69,67
68,67,70,64
69,67,67,66
69,66,68,67
67,66,70,66
68,67,70,66
69,67,70,68
69,66,69,66
68,66,70,64
69,66,69,68
69,66,69,66
68,66,68,64
69,67,67,66
68,66,69,68
68,67,71,65
68,66,68,66
68,66,69,68
69,66,69,65
68,67,68,64
68,66,68,67
68,67,69,67
68,67,70,64
69,67,69,66
68,66,68,67
68,67,70,65
68,67,69,65
69,66,68,67
68,66,70,66
68,67,69,65
69,67,67,67
69,66,69,67
68,67,68,64
68,67,69,66
69,65,67,67
68,66,70,65
68,68,69,65
70,66,67,67
68,66,70,66
68,68,67,64
69,65,69,68
69,65,68,67
68,67,70,63
68,67,67,65
69,67,69,65
68,67,69,64
68,67,69,64
69,67,67,67
69,66,69,65
67,67,69,64
69,67,69,66
69,65,69,66
67,67,69,64
69,67,68,66
68,66,68,67
68,66,69,65
68,67,68,65
68,66,68,68
68,67,70,65
68,67,70,65
69,67,67,66
69,66,68,67
67,66,70,65
68,67,67,67
68,67,69,66
68,66,70,64
68,67,67,65
69,66,68,67
67,66,70,66
